config_id,automaton_id,num_robots,num_runs,mean_time_ms,stddev_time_ms,min_time_ms,max_time_ms
0,1,15,1,0.214,0,0.214,0.214
1,1,3,1,0.157,0,0.157,0.157
2,1,45,1,0.659,0,0.659,0.659
3,1,6,1,0.176,0,0.176,0.176
4,10,15,1,15.476,0,15.476,15.476
5,10,3,1,13.531,0,13.531,13.531
6,10,45,1,17.536,0,17.536,17.536
7,10,6,1,14.597,0,14.597,14.597
8,11,15,1,29.539,0,29.539,29.539
9,11,3,1,25.848,0,25.848,25.848
10,11,45,1,33.17,0,33.17,33.17
11,11,6,1,27.26,0,27.26,27.26
12,12,15,1,32.861,0,32.861,32.861
13,12,3,1,30.007,0,30.007,30.007
14,12,45,1,37.096,0,37.096,37.096
15,12,6,1,30.735,0,30.735,30.735
16,13,15,1,64.688,0,64.688,64.688
17,13,3,1,68.235,0,68.235,68.235
18,13,45,1,68.486,0,68.486,68.486
19,13,6,1,62.988,0,62.988,62.988
20,14,15,1,126.472,0,126.472,126.472
21,14,3,1,124.363,0,124.363,124.363
22,14,45,1,133.324,0,133.324,133.324
23,14,6,1,123.291,0,123.291,123.291
24,15,15,1,354.762,0,354.762,354.762
25,15,3,1,357.278,0,357.278,357.278
26,15,45,1,365.798,0,365.798,365.798
27,15,6,1,345.921,0,345.921,345.921
28,16,15,1,692.296,0,692.296,692.296
29,16,3,1,692.082,0,692.082,692.082
30,16,45,1,723.132,0,723.132,723.132
31,16,6,1,689.66,0,689.66,689.66
32,2,15,1,0.466,0,0.466,0.466
33,2,3,1,0.337,0,0.337,0.337
34,2,45,1,0.678,0,0.678,0.678
35,2,6,1,0.391,0,0.391,0.391
36,3,15,1,1.346,0,1.346,1.346
37,3,3,1,1.162,0,1.162,1.162
38,3,45,1,1.955,0,1.955,1.955
39,3,6,1,1.137,0,1.137,1.137
40,4,15,1,5.779,0,5.779,5.779
41,4,3,1,4.506,0,4.506,4.506
42,4,45,1,9.882,0,9.882,9.882
43,4,6,1,5.332,0,5.332,5.332
44,5,15,1,5.44,0,5.44,5.44
45,5,3,1,4.803,0,4.803,4.803
46,5,45,1,7.423,0,7.423,7.423
47,5,6,1,4.723,0,4.723,4.723
48,6,15,1,7.524,0,7.524,7.524
49,6,3,1,6.676,0,6.676,6.676
50,6,45,1,9.669,0,9.669,9.669
51,6,6,1,6.818,0,6.818,6.818
52,7,15,1,15.768,0,15.768,15.768
53,7,3,1,11.209,0,11.209,11.209
54,7,45,1,15.667,0,15.667,15.667
55,7,6,1,11.677,0,11.677,11.677
56,8,15,1,15.964,0,15.964,15.964
57,8,3,1,13.101,0,13.101,13.101
58,8,45,1,17.535,0,17.535,17.535
59,8,6,1,13.638,0,13.638,13.638
60,9,15,1,15.094,0,15.094,15.094
61,9,3,1,12.027,0,12.027,12.027
62,9,45,1,19.329,0,19.329,19.329
63,9,6,1,12.612,0,12.612,12.612
