run_id,trial_number,timestamp,Batch_Configuration,automaton_id,num_automaton_states,num_automaton_edges,num_robots,num_ts_regions,total_computation_time_ms,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,task_allocation_memory_bytes,product_automaton_memory_bytes,product_automaton_nodes,product_automaton_edges,pruning_ratio,explored_product_ratio,tree_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
1,1,"2026-09-02 18:07:21",1,1,3,8,45,6,0.774,6,11,5,1,0,0,0,0,0.454545,0,268,9,0.2,0
2,1,"2026-09-02 18:07:21",1,2,6,14,45,6,0.594,11,23,12,1,0,0,0,0,0.521739,0,250,15,0.333333,0
3,1,"2026-09-02 18:07:21",1,3,10,58,45,6,1.556,19,51,32,2,0,0,0,0,0.627451,0,255,18,0.4,0
4,1,"2026-09-02 18:07:23",1,4,16,142,45,6,7.867,38,188,150,9,0,0,0,0,0.797872,0,252,9,0.2,0
5,1,"2026-09-02 18:07:23",1,5,20,200,45,6,5.678,39,111,72,2,0,0,0,0,0.648649,0,322,33,0.733333,0
6,1,"2026-09-02 18:07:24",1,6,27,226,45,6,8.356,53,153,100,6,0,0,0,0,0.653595,0,322,21,0.466667,0
7,1,"2026-09-02 18:07:24",1,7,38,233,45,6,11.276,72,166,94,2,0,0,0,0,0.566265,0,661,36,0.8,0
8,1,"2026-09-02 18:07:24",1,8,39,350,45,6,16.355,71,235,164,6,0,0,0,0,0.697872,0,474,15,0.333333,0
9,1,"2026-09-02 18:07:24",1,9,40,357,45,6,15.049,63,205,142,6,0,0,0,0,0.692683,0,274,21,0.466667,0
10,1,"2026-09-02 18:07:25",1,10,43,378,45,6,16.642,66,216,150,6,0,0,0,0,0.694444,0,274,21,0.466667,0
11,1,"2026-09-02 18:07:26",1,11,55,544,45,6,31.677,98,337,239,9,0,0,0,0,0.709199,0,948,24,0.533333,0
12,1,"2026-09-02 18:07:30",1,12,61,598,45,6,36.028,104,359,255,9,0,0,0,0,0.710306,0,948,24,0.533333,0
13,1,"2026-09-02 18:07:30",1,13,96,1458,45,6,72.012,101,410,309,6,0,0,0,0,0.753659,0,723,6,0.133333,0
14,1,"2026-09-02 18:07:30",1,14,128,2187,45,6,139.499,134,588,454,7,0,0,0,0,0.772109,0,884,3,0.0666667,0
15,1,"2026-09-02 18:07:31",1,15,192,4374,45,6,382.623,198,908,710,7,0,0,0,0,0.781938,0,836,6,0.133333,0
16,1,"2026-09-02 18:07:31",1,16,256,6561,45,6,740.504,263,1294,1031,8,0,0,0,0,0.796754,0,997,3,0.0666667,0
