config_id,Batch_Configuration,automaton_id,num_runs,mean_time_ms,stddev_time_ms,min_time_ms,max_time_ms
0,1,1,1,0.774,0,0.774,0.774
1,1,10,1,16.642,0,16.642,16.642
2,1,11,1,31.677,0,31.677,31.677
3,1,12,1,36.028,0,36.028,36.028
4,1,13,1,72.012,0,72.012,72.012
5,1,14,1,139.499,0,139.499,139.499
6,1,15,1,382.623,0,382.623,382.623
7,1,16,1,740.504,0,740.504,740.504
8,1,2,1,0.594,0,0.594,0.594
9,1,3,1,1.556,0,1.556,1.556
10,1,4,1,7.867,0,7.867,7.867
11,1,5,1,5.678,0,5.678,5.678
12,1,6,1,8.356,0,8.356,8.356
13,1,7,1,11.276,0,11.276,11.276
14,1,8,1,16.355,0,16.355,16.355
15,1,9,1,15.049,0,15.049,15.049
16,2,1,1,0.342,0,0.342,0.342
17,2,10,1,16.289,0,16.289,16.289
18,2,11,1,32.744,0,32.744,32.744
19,2,12,1,36.828,0,36.828,36.828
20,2,13,1,71.444,0,71.444,71.444
21,2,14,1,136.643,0,136.643,136.643
22,2,15,1,377.203,0,377.203,377.203
23,2,16,1,749.681,0,749.681,749.681
24,2,2,1,1.909,0,1.909,1.909
25,2,3,1,1.742,0,1.742,1.742
26,2,4,1,7.893,0,7.893,7.893
27,2,5,1,5.631,0,5.631,5.631
28,2,6,1,8.317,0,8.317,8.317
29,2,7,1,11.794,0,11.794,11.794
30,2,8,1,16.253,0,16.253,16.253
31,2,9,1,14.998,0,14.998,14.998
32,3,1,1,0.273,0,0.273,0.273
33,3,10,1,16.868,0,16.868,16.868
34,3,11,1,32.372,0,32.372,32.372
35,3,12,1,39.56,0,39.56,39.56
36,3,13,1,72.783,0,72.783,72.783
37,3,14,1,138.832,0,138.832,138.832
38,3,15,1,384.192,0,384.192,384.192
39,3,16,1,751.545,0,751.545,751.545
40,3,2,1,0.803,0,0.803,0.803
41,3,3,1,1.788,0,1.788,1.788
42,3,4,1,8.294,0,8.294,8.294
43,3,5,1,5.926,0,5.926,5.926
44,3,6,1,8.571,0,8.571,8.571
45,3,7,1,12.353,0,12.353,12.353
46,3,8,1,17.822,0,17.822,17.822
47,3,9,1,15.882,0,15.882,15.882
48,4,1,1,0.351,0,0.351,0.351
49,4,10,1,17.406,0,17.406,17.406
50,4,11,1,31.824,0,31.824,31.824
51,4,12,1,37.59,0,37.59,37.59
52,4,13,1,71.187,0,71.187,71.187
53,4,14,1,138.497,0,138.497,138.497
54,4,15,1,379.56,0,379.56,379.56
55,4,16,1,754.94,0,754.94,754.94
56,4,2,1,1.014,0,1.014,1.014
57,4,3,1,2.07,0,2.07,2.07
58,4,4,1,8.502,0,8.502,8.502
59,4,5,1,6.402,0,6.402,6.402
60,4,6,1,9.944,0,9.944,9.944
61,4,7,1,11.752,0,11.752,11.752
62,4,8,1,16.963,0,16.963,16.963
63,4,9,1,15.831,0,15.831,15.831
